GENERAL LOCATION LONG,SITE_NAME,ENTRY COMPLETE (Yes or No),DEPLOYED? ACTIVELY COLLECTING DATA? (yes or no),AGENCY,PERSON ACCOUNTABLE,RIVER_KM(RKM),GATE_TYPE,INSTRUMENT_SERIAL_NO.,SYSTEM_MAKE,SYSTEM_MODEL,FILENAME,FIRMWARE_VERSION ,AUTO(A)_OR_REALTIME(RT) ,MODEM_IP_ADDRESS,HYDROPHONE_LATITUDE,HYDROPHONE_LONGITUDE,SHORE_POINT_LATITUDE,SHORE_POINT_LONGITUDE,RECEIVER_CLOCK_TIME_SYSTEM,BattStart_DateTime,DAYS_SINCE_POWER_UP,IN_WATER_DATETIME,OUT_WATER_DATETIME,BOTTOM_DEPTH(M),BOTTOM_DEPTH (FT),HYDROPHONE_DEPTH(M),HYDROPHONE_DEPTH(FT),BEACON_TAG_ID (Dec format),BEACON_PRI (SECS),BEACON_LAT,BEACON_LONG,BEACON_TAG_IN_WATER_DATE,BEACON_TAG_OUT_WATER_DATE,MOORING_METHOD,DEPLOYED_BY,RECOVERED_BY,JUSTIFICATION,EXPECTED_STUDY_DURATION,FUNDING_SOURCE,SPECIES_TAGGED,NOTES_DEPLOYMENT_RECOVERY_DATA ,,
Blw_Cypress,CypressB,Y,N,USFWS,Poytress,543.909,S,1900001,Lotek,WHS4350S,L2022_1900001.R1.JST,8,A,,40.56014,-122.37375,40.56014,-122.37395,PST,02/01/2022 12:39,100,2/3/2022 9:47:00,3/22/2022 9:53:00,2.6,8.5,1.8,5.9,1,30,40.56014,-122.37395,2/3/2022 9:47:00,3/22/2022 9:53:00,Shore Cable,"DR, AD","DR, BL",RSM,100,USBR-CAT,CS,Test tag A3EA applied and detected at start up 02/01/2022 12:51; Test tag A445 applied and detected prior to deployment 02/03/2022 09:39; Receiver rapidly flsahing red when recovered; no test tag at recovery; Test tag A39A applied and detected during post,,
Blw_Cypress,CypressA,Y,N,USFWS,Poytress,543.908,S,20133,ATS,SR3001,SR20133_220202_142821.csv,6.43,A,,40.56039,-122.37556,40.56036,-122.37566,PST,02/02/2022 11:26,50,2/3/2022 9:35:00,3/22/2022 9:38:00,1.8,5.9,1.0,3.3,,,40.56036,-122.37566,2/3/2022 9:35:00,3/22/2022 9:38:00,Shore Cable,"DR, AD","DR, BL",RSM,50,USBR-CAT,CS,Test Tag A445 applied and detected at start up 02/02/2022 11:47; Test Tag A445 applied and detected prior to deployment 02/03/2022 09:26; Flashing long green when recovered - no test tag: Test tag A39A applied and detected during post recovery 03/22/2022,,
Blw_ClearCr,ClearCkW,Y,N,USFWS,Poytress,535.629,S,20134,ATS,SR3001,SR20134_220202_142806.csv,6.43,A,,40.49718,-122.35722,40.49718,-122.35722,PST,02/02/2022 11:26,50,2/3/2022 10:27:00,3/28/2022 10:15:00,2.1,6.9,1.8,5.9,,,40.49718,-122.35722,2/3/2022 10:27:00,3/28/2022 10:15:00,Shore Cable,"DR, AD","LL, CCP, CP",RSM,50,USBR-CAT,CS,Test tag A445 applied and detected at start up 02/02/2022 11:51; Test tag A445 applied and detected prior to deployment 02/03/2022 10:18; Receiver flashing green and yellow when recovered; no test tag at recovery; Receiver solid faint Red and Yellow; Rece,,
Blw_ClearCr,ClearCkE,Y,N,USFWS,Poytress,535.628,S,2000042,Lotek,WHS4350S,L2022_2000042.R1.JST,8.6,A,,40.50187,-122.36166,40.50187,-122.36165,PST,02/01/2022 13:05,100,2/3/2022 11:02:00,3/22/2022 11:05:00,2.6,8.5,2.2,7.2,42,30,40.50187,-122.36165,2/3/2022 11:02:00,3/22/2022 11:05:00,Shore Cable,"DR, AD","DR, BL",RSM,100,USBR-CAT,CS,Test tag A3EA applied and detected at start up 02/1/2022 13:15; Test tag A445 applied and detected prior to deployment 02/03/2022 10:38; Flashing when recovered; No test tag at recovery; Slowly flashing red dat post recovery; Test tag A39A applied and det,,
BlwCowCr,CowCk4,Y,N,USFWS,Poytress,520.699,S,20131,ATS,SR3001,SR20131_220125_122348.csv,6.43,A,,40.45897,-122.228,40.45898,-122.22813,PST,01/25/2022 9:28,50,1/25/2022 11:13:00,3/31/2022 8:18:00,3.0,9.8,2.0,6.6,,,40.45898,-122.22813,1/25/2022 11:13:00,3/31/2022 8:18:00,Shore Cable,"AD, LL","AD, CCP",RSM,50,USBR-CAT,CS,Test tag A445 applied and detected at start up 01/25/2022 09:50; Test tag A445 applied and detected prior to deployment 01/25/2022 11:03; Receiver not flashing at recovery; Test tag A39A applied but not detected at recovery 03/31/2022 08:23; Battery died,,
BlwCowCr,CowCk6,Y,N,USFWS,Poytress,520.699,S,1900004,Lotek,WHS4350S,L2022_1900004.R1.JST,8,A,,40.45867,-122.22788,40.45871,-122.228,PST,01/25/2022 9:26,100,1/25/2022 11:38:00,3/31/2022 8:34:00,3.0,9.8,2.0,6.6,,,40.45871,-122.228,1/25/2022 11:38:00,3/31/2022 8:34:00,Shore Cable,"AD, LL","AD, CCP",RSM,100,USBR-CAT,CS,Test tag A445 applied and detected at start up 01/25/2022 09:33; Test tag A445 applied and detected prior to deployment 01/25/2022 11:20; Receiver flashing red when recovered; Test tag A39A applied but not detected at recovery 03/31/2022 08:36; Cable left,,
Battle_Conf,Battle4,Y,N,USFWS,Poytress,507.489,S,17069,ATS,SR3000,No Data,4.1,A,,40.35435,-122.17555,40.35432,-122.17538,PST,01/25/2022 9:42,100,1/25/2022 12:07:00,3/31/2022 9:05:00,3.1,10.2,2.2,7.2,,,40.35432,-122.17538,1/25/2022 12:07:00,3/31/2022 9:05:00,Shore Cable,"AD, LL","AD, CCP",RSM,100,USBR-CAT,CS,Only data recovered using Testdisk and is from 04/21/2022 until 05/01/2022 when receiver was sitting on shelf; CF card labeled FORMAT = FAT; FAT32 WILL NOT WORK - card has been removed from inventory to prevent future use; Test tag A445 applied and detect,,
Battle_Conf,Battle4,Y,N,USFWS,Poytress,507.489,S,21133,ATS,SR3001,SR21133_220330_130025.csv,6.49,A,,40.3543,-122.17557,40.35432,-122.17538,PST,03/30/2022 13:00,100,3/31/2022 9:09:00,6/7/2022 14:20:00,2.7,8.9,2.1,6.9,,,40.35432,-122.17538,3/31/2022 9:09:00,6/7/2022 14:20:00,Shore Cable,"AD, CCP","AD, LL",RSM,100,USBR-CAT,CS,Battery used to start up 17093 - ran for 4 days and then removed and plugged into 21133; Test tag A39A applied and detected at startup 03/30/2022 13:12; Test tag A39A applied and detected prior to deployment 03/31/2022 09:08; Flashing when recovered; Test,,
Battle_Conf,Battle2,Y,N,USFWS,Poytress,507.35,S,1900001,Lotek,WHS4350S,L2022_1900001.R2.JST,8,A,,40.35363,-122.17663,40.35352,-122.17648,PST,03/30/2022 13:38,100,3/31/2022 9:22:00,6/7/2022 14:41:00,4.6,15.1,4.3,14.1,1,30,40.35352,-122.17648,3/31/2022 9:22:00,6/7/2022 14:41:00,Shore Cable,"AD, CCP","AD, LL",RSM,100,USBR-CAT,CS,Test tag A39A applied and detected at startup 03/30/2022 13:53; Test tag A39A applied and detected prior to deployment 03/31/2022 09:21; Nearby Vemco float tube was cracked and receiver was submerged but laying on top of a rock - after recovery float from,,
Battle_Conf,Battle2,Y,N,USFWS,Poytress,507.35,S,2000044,Lotek,WHS4350S,L2022_2000044.R1.JST,8.6,A,,40.35365,-122.17658,40.35352,-122.17648,PST,01/25/2022 9:12,100,1/25/2022 12:17:00,3/31/2022 9:26:00,5.2,17.1,3.9,12.8,44,30,40.35352,-122.17648,1/25/2022 12:17:00,3/31/2022 9:26:00,Shore Cable,"AD, LL","AD, CCP",RSM,100,USBR-CAT,CS,Test tag A445 applied and detected at startup 01/25/2022 09:19; Test tag A445 applied and detected prior to deployment 01/25/2022 12:14; Receiver flashing red when recovered; Test tag A39A applied and detected at recovery 03/31/2022 09:22; Test tag A39A a,,
