AutoNum,TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Ad_Clip,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,Rel_group,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,FishID,TagID_Decimal,Fish_Type,CommonName,SpeciesName,Origin,StudyID,days_starved,Raceway,Length_Type,Knockout_conc,SurBath_conc,DNA,Tag_placement,Num_sutures,Suture_knot,SutureID,Tag_Weight,Sex,Life_Stage,Rel_loc,Rel_Lat,Rel_Lon,Rel_rkm,Rel_datetime,Tag_status_at_Rel,Last_detect_ref_rec,Manufacturer,TagModel,TagSN,PRI_nominal,PRI_estimate,WarrantyLife,CWT_code,TimeStamp,Release Notes
2076,62A7,8:35:49 AM,8:39:16 AM,7.2,87,G,G,G,,8:40:41 AM,0,8:42:44 AM,BL,HF,,10.5,,11,,SS300,5/9/2023,,,Seasonal Survival,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Spring_Pulse_2023,2,6,FL,70,25,N,TP,1,1x3,PDO 6-0,0.3,I,sub-yearling,,,,,,On,,ATS,SS300,,5,5,37,5-66-21,09-May-23,
2077,277A,8:37:48 AM,8:41:19 AM,8.8,91,G,G,G,,8:42:41 AM,0,8:44:45 AM,BL,HF,,10.5,,11,,SS300,5/9/2023,,,Seasonal Survival,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Spring_Pulse_2023,2,6,FL,70,25,N,TP,1,1x3,PDO 6-0,0.3,I,sub-yearling,,,,,,On,,ATS,SS300,,5,5,37,5-66-21,09-May-23,
2078,D422,8:40:53 AM,8:43:20 AM,6.6,86,G,G,G,,8:44:42 AM,0,8:46:47 AM,BL,HF,,10.5,,11,,,5/9/2023,,,Seasonal Survival,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Spring_Pulse_2023,2,6,FL,70,25,N,TP,1,1x3,PDO 6-0,0.21,I,sub-yearling,,,,,,On,,ATS,SS400,,5,5,71,5-66-21,09-May-23,
2079,D4C6,8:42:54 AM,8:45:26 AM,8.7,90,G,G,G,,8:46:43 AM,0,8:49:27 AM,BL,HF,,10.5,,11,,,5/9/2023,,,Seasonal Survival,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Spring_Pulse_2023,2,6,FL,70,25,N,TP,1,1x3,PDO 6-0,0.21,I,sub-yearling,,,,,,On,,ATS,SS400,,5,5,71,5-66-21,09-May-23,
2080,B2C2,8:45:03 AM,8:47:53 AM,5.2,79,G,G,G,,8:49:24 AM,0,8:51:30 AM,BL,HF,,10.5,,11,,,5/9/2023,,,Seasonal Survival,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Spring_Pulse_2023,2,6,FL,70,25,N,TP,1,1x3,PDO 6-0,0.21,I,sub-yearling,,,,,,On,,ATS,SS400,,5,5,71,5-66-21,09-May-23,
2081,D5B8,8:47:13 AM,8:50:05 AM,6.4,84,G,G,G,,8:51:29 AM,0,8:53:59 AM,BL,HF,,10.5,,11,,,5/9/2023,,,Seasonal Survival,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Spring_Pulse_2023,2,6,FL,70,25,N,TP,1,1x3,PDO 6-0,0.21,I,sub-yearling,,,,,,On,,ATS,SS400,,5,5,71,5-66-21,09-May-23,
2082,8E3D,8:49:39 AM,8:52:24 AM,6.5,85,G,G,G,,8:53:55 AM,0,8:56:15 AM,BL,HF,,10.5,,11,,,5/9/2023,,,Seasonal Survival,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Spring_Pulse_2023,2,6,FL,70,25,N,TP,1,1x3,PDO 6-0,0.21,I,sub-yearling,,,,,,On,,ATS,SS400,,5,5,71,5-66-21,09-May-23,
2083,B49B,8:54:18 AM,8:56:40 AM,5,80,G,G,G,,8:58:12 AM,0,9:00:07 AM,BL,HF,,10.5,,11,,,5/9/2023,,,Seasonal Survival,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Spring_Pulse_2023,2,6,FL,70,25,N,TP,1,1x3,PDO 6-0,0.21,I,sub-yearling,,,,,,On,,ATS,SS400,,5,5,71,5-66-21,09-May-23,
2084,D114,8:55:36 AM,8:58:48 AM,6.7,83,G,G,G,,9:00:04 AM,0,9:03:16 AM,BL,HF,,10.5,,11,,,5/9/2023,,,Seasonal Survival,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Spring_Pulse_2023,2,6,FL,70,25,N,TP,1,1x3,PDO 6-0,0.21,I,sub-yearling,,,,,,On,,ATS,SS400,,5,5,71,5-66-21,09-May-23,
2085,BBC4,8:58:25 AM,9:02:01 AM,5,80,G,G,G,,9:03:13 AM,0,9:05:29 AM,BL,HF,,10.5,,11,,,5/9/2023,,,Seasonal Survival,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Spring_Pulse_2023,2,6,FL,70,25,N,TP,1,1x3,PDO 6-0,0.21,I,sub-yearling,,,,,,On,,ATS,SS400,,5,5,71,5-66-21,09-May-23,
