ShipBox,ShipTray,ShipHole,FlatNum,ManufactureDate,HexCode,IdleCurrent,BatteryVoltage,OutputCurrent,Period_Nom,Length_mm,Width_mm,Height_mm,Weight_air_mg,FullID,Power_db,Customer_PO,Sales_Order_No,Project Name,Project Fund,Notes,Manufacturer,DecCode,Model,Serial No,UseType,Frequency_kHz,Period_Est,EstimatedLife,WarrantyLife,BatteryType,Cost,Date_Received,Agency,Owner
2047,1,1,5346,20-Nov-23,7299,0.0000004182,3.19v,0.0000000561,5,14.2,3.2,3.2,204,G7272990A,156,,,,,,,,,,,,,,,,,,,
2047,1,2,5356,20-Nov-23,ED9A,0.0000006206,3.19v,0.0000000558,5,14.2,3.2,3.2,205,G72ED9A33,155,,,,,,,,,,,,,,,,,,,
2047,1,3,5348,20-Nov-23,E9C9,0.0000004632,3.19v,0.000000058,5,14.2,3.2,3.2,207,G72E9C931,155,,,,,,,,,,,,,,,,,,,
2047,1,4,5356,20-Nov-23,EDAC,0.0000004298,3.19v,0.0000000576,5,14.2,3.2,3.2,207,G72EDAC50,155,,,,,,,,,,,,,,,,,,,
2047,1,5,5347,20-Nov-23,E953,0.0000004285,3.19v,0.0000000515,5,14.2,3.2,3.2,204,G72E9535E,154,,,,,,,,,,,,,,,,,,,
2047,1,6,5349,20-Nov-23,EA5F,0.0000005158,3.19v,0.000000059,5,14.2,3.2,3.2,203,G72EA5FA8,155,,,,,,,,,,,,,,,,,,,
2047,1,7,5348,20-Nov-23,E9D6,0.0000007017,3.19v,0.0000000576,5,14.2,3.2,3.2,205,G72E9D6ED,155,,,,,,,,,,,,,,,,,,,
2047,1,8,5358,20-Nov-23,EECD,0.0000005697,3.19v,0.0000000511,5,14.2,3.2,3.2,208,G72EECD3E,155,,,,,,,,,,,,,,,,,,,
2047,1,9,5346,20-Nov-23,E891,0.0000004488,3.19v,0.0000000571,5,14.2,3.2,3.2,205,G72E891EC,156,,,,,,,,,,,,,,,,,,,
2047,1,10,5346,20-Nov-23,728A,0.0000004337,3.19v,0.0000000538,5,14.2,3.2,3.2,205,G72728A75,156,,,,,,,,,,,,,,,,,,,
2047,1,11,5350,20-Nov-23,EABC,0.0000004927,3.19v,0.0000000548,5,14.2,3.2,3.2,204,G72EABCA3,154,,,,,,,,,,,,,,,,,,,
2047,1,12,5346,20-Nov-23,E875,0.0000005005,3.19v,0.00000006,5,14.2,3.2,3.2,207,G72E87564,154,,,,,,,,,,,,,,,,,,,
2047,1,13,5349,20-Nov-23,EA62,0.0000004505,3.19v,0.0000000587,5,14.2,3.2,3.2,204,G72EA62EB,155,,,,,,,,,,,,,,,,,,,
2047,1,14,5358,20-Nov-23,EF2D,0.0000004119,3.19v,0.0000000533,5,14.2,3.2,3.2,200,G72EF2D13,156,,,,,,,,,,,,,,,,,,,
2047,1,15,5347,20-Nov-23,E8AE,0.0000004816,3.19v,0.0000000578,5,14.2,3.2,3.2,201,G72E8AE13,154,,,,,,,,,,,,,,,,,,,
2047,1,16,5350,20-Nov-23,EA9B,0.0000004571,3.19v,0.0000000554,5,14.2,3.2,3.2,204,G72EA9B03,154,,,,,,,,,,,,,,,,,,,
2047,1,17,5358,20-Nov-23,EF6B,0.0000004909,3.19v,0.0000000565,5,14.2,3.2,3.2,205,G72EF6B88,157,,,,,,,,,,,,,,,,,,,
2047,1,18,5357,20-Nov-23,EE2D,0.0000004091,3.19v,0.0000000569,5,14.2,3.2,3.2,206,G72EE2DD7,154,,,,,,,,,,,,,,,,,,,
2047,1,19,5347,20-Nov-23,E90D,0.0000004963,3.19v,0.0000000575,5,14.2,3.2,3.2,209,G72E90D9A,155,,,,,,,,,,,,,,,,,,,
2047,1,20,5346,20-Nov-23,E775,0.0000004543,3.19v,0.0000000559,5,14.2,3.2,3.2,203,G72E7757C,155,,,,,,,,,,,,,,,,,,,
2047,1,21,5347,20-Nov-23,E8D6,0.0000004522,3.19v,0.0000000587,5,14.2,3.2,3.2,204,G72E8D629,155,,,,,,,,,,,,,,,,,,,
2047,1,22,5346,20-Nov-23,729B,0.0000004696,3.19v,0.0000000561,5,14.2,3.2,3.2,206,G72729BB6,153,,,,,,,,,,,,,,,,,,,
2047,1,23,5346,20-Nov-23,E85D,0.0000004724,3.19v,0.0000000609,5,14.2,3.2,3.2,203,G72E85D85,153,,,,,,,,,,,,,,,,,,,
2047,1,24,5357,20-Nov-23,EE4A,0.0000005255,3.19v,0.0000000577,5,14.2,3.2,3.2,204,G72EE4A31,155,,,,,,,,,,,,,,,,,,,
2047,1,25,5347,20-Nov-23,E961,0.0000004394,3.19v,0.0000000512,5,14.2,3.2,3.2,204,G72E9615C,156,,,,,,,,,,,,,,,,,,,
2047,1,26,5356,20-Nov-23,EDAB,0.0000004494,3.19v,0.0000000598,5,14.2,3.2,3.2,205,G72EDABD3,155,,,,,,,,,,,,,,,,,,,
2047,1,27,5356,20-Nov-23,ED89,0.0000006803,3.19v,0.0000000573,5,14.2,3.2,3.2,203,G72ED894C,154,,,,,,,,,,,,,,,,,,,
2047,1,28,5357,20-Nov-23,EE65,0.0000004488,3.19v,0.0000000579,5,14.2,3.2,3.2,204,G72EE6553,155,,,,,,,,,,,,,,,,,,,
2047,1,29,5357,20-Nov-23,EE6A,0.0000005652,3.19v,0.0000000577,5,14.2,3.2,3.2,205,G72EE6A12,153,,,,,,,,,,,,,,,,,,,
2047,1,30,5357,20-Nov-23,EE4D,0.000000433,3.19v,0.0000000573,5,14.2,3.2,3.2,208,G72EE4DB2,154,,,,,,,,,,,,,,,,,,,
2047,1,31,5346,20-Nov-23,72A0,0.0000004707,3.19v,0.0000000557,5,14.2,3.2,3.2,204,G7272A028,154,,,,,,,,,,,,,,,,,,,
