AutoNum,TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Ad_Clip,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,Rel_group,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,Tag_Start_Date,FishID,TagID_Decimal,Fish_Type,CommonName,SpeciesName,Origin,StudyID,days_starved,Raceway,Length_Type,Knockout_conc,SurBath_conc,DNA,Tag_placement,Num_sutures,Suture_knot,SutureID,Tag_Weight,Sex,Life_Stage,Rel_loc,Rel_Lat,Rel_Lon,Rel_rkm,Rel_datetime,Tag_status_at_Rel,Last_detect_ref_rec,Manufacturer,TagModel,TagSN,PRI_nominal,PRI_estimate,WarrantyLife,CWT_code,PIT_code,Release Notes,TimeStamp
3441,76A7,11:17:27 AM,11:19:18 AM,9.5,89,G,G,G,,11:20:46 AM,0,11:23:13 AM,BPB,BJA,RBDD_20240403,12.7,11,13.2,10.6,,4/2/24,4/2/24,SS_2024-769,30375,CNFH Fall Chinook,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Seasonal_Survival_2024,0,,FL,70,35,N,TP,1,1X3,PDO 6-0,0.21,I,sub-yearling,RBDD_Rel,40.154441,-122.202488,461.579,4/3/24,On,,ATS,SS400,,5,5,71,999,0,Fish transported from CNFH to RBDD in two coolers with oxygen provided via bubblers. River water temperature within 2 degrees of cooler water temperature. Fish released off bank just downstream of RBDD boat lanch into shallow riffle.,4/2/24
3442,7694,11:19:52 AM,11:21:28 AM,8.1,88,G,G,G,,11:23:11 AM,0,11:25:20 AM,BPB,BJA,RBDD_20240403,12.7,11,13.2,10.6,,4/2/24,4/2/24,SS_2024-770,30356,CNFH Fall Chinook,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Seasonal_Survival_2024,0,,FL,70,35,N,TP,1,1X3,PDO 6-0,0.21,I,sub-yearling,RBDD_Rel,40.154441,-122.202488,461.579,4/3/24,On,,ATS,SS400,,5,5,71,999,0,Fish transported from CNFH to RBDD in two coolers with oxygen provided via bubblers. River water temperature within 2 degrees of cooler water temperature. Fish released off bank just downstream of RBDD boat lanch into shallow riffle.,4/2/24
3443,72B5,11:21:45 AM,11:23:43 AM,8.1,88,G,G,G,,11:25:18 AM,0,11:27:42 AM,BPB,BJA,RBDD_20240403,12.7,11,13.2,10.6,,4/2/24,4/2/24,SS_2024-771,29365,CNFH Fall Chinook,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Seasonal_Survival_2024,0,,FL,70,35,N,TP,1,1X3,PDO 6-0,0.21,I,sub-yearling,RBDD_Rel,40.154441,-122.202488,461.579,4/3/24,On,,ATS,SS400,,5,5,71,999,0,Fish transported from CNFH to RBDD in two coolers with oxygen provided via bubblers. River water temperature within 2 degrees of cooler water temperature. Fish released off bank just downstream of RBDD boat lanch into shallow riffle.,4/2/24
3444,769E,11:23:56 AM,11:25:54 AM,7.7,85,G,G,G,,11:27:41 AM,0,11:29:41 AM,BPB,BJA,RBDD_20240403,12.7,11,13.2,10.6,,4/2/24,4/2/24,SS_2024-772,30366,CNFH Fall Chinook,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Seasonal_Survival_2024,0,,FL,70,35,N,TP,1,1X3,PDO 6-0,0.21,I,sub-yearling,RBDD_Rel,40.154441,-122.202488,461.579,4/3/24,On,,ATS,SS400,,5,5,71,999,0,Fish transported from CNFH to RBDD in two coolers with oxygen provided via bubblers. River water temperature within 2 degrees of cooler water temperature. Fish released off bank just downstream of RBDD boat lanch into shallow riffle.,4/2/24
3445,776D,11:26:20 AM,11:28:20 AM,8.8,90,G,G,G,,11:29:40 AM,0,11:31:54 AM,BPB,BJA,RBDD_20240403,12.7,11,13.2,10.6,,4/2/24,4/2/24,SS_2024-773,30573,CNFH Fall Chinook,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Seasonal_Survival_2024,0,,FL,70,35,N,TP,1,1X3,PDO 6-0,0.21,I,sub-yearling,RBDD_Rel,40.154441,-122.202488,461.579,4/3/24,On,,ATS,SS400,,5,5,71,999,0,Fish transported from CNFH to RBDD in two coolers with oxygen provided via bubblers. River water temperature within 2 degrees of cooler water temperature. Fish released off bank just downstream of RBDD boat lanch into shallow riffle.,4/2/24
3446,74BB,11:28:42 AM,11:30:17 AM,7.8,84,G,G,G,,11:31:53 AM,0,11:33:04 AM,BPB,BJA,RBDD_20240403,12.7,11,13.2,10.6,,4/2/24,4/2/24,SS_2024-774,29883,CNFH Fall Chinook,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Seasonal_Survival_2024,0,,FL,70,35,N,TP,1,1X3,PDO 6-0,0.21,I,sub-yearling,RBDD_Rel,40.154441,-122.202488,461.579,4/3/24,On,,ATS,SS400,,5,5,71,999,0,Fish transported from CNFH to RBDD in two coolers with oxygen provided via bubblers. River water temperature within 2 degrees of cooler water temperature. Fish released off bank just downstream of RBDD boat lanch into shallow riffle.,4/2/24
3447,7954,11:30:34 AM,11:32:29 AM,8.1,88,G,G,G,,11:33:52 AM,0,11:37:30 AM,BPB,BJA,RBDD_20240403,12.7,11,13.2,10.6,,4/2/24,4/2/24,SS_2024-775,31060,CNFH Fall Chinook,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Seasonal_Survival_2024,0,,FL,70,35,N,TP,1,1X3,PDO 6-0,0.21,I,sub-yearling,RBDD_Rel,40.154441,-122.202488,461.579,4/3/24,On,,ATS,SS400,,5,5,71,999,0,Fish transported from CNFH to RBDD in two coolers with oxygen provided via bubblers. River water temperature within 2 degrees of cooler water temperature. Fish released off bank just downstream of RBDD boat lanch into shallow riffle.,4/2/24
2673,7564,10:34:58 AM,10:37:29 AM,9.7,94,G,G,G,Y,10:38:37 AM,0,10:40:15 AM,BL,LT,RBDD_20240222,10.1,10.82,10.4,10.83,,2/21/24,2/21/24,SS_2024-534,30052,LSNFH Winter Chinook,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Seasonal_Survival_2024,2,C44,FL,75,25,N,TP,1,1X3,PDO 6-0,209,I,sub-yearling,RBDD_Rel,40.154441,-122.202488,461.579,2/22/24,On,,ATS,SS400,ATS2024-02574,5,5,36,050031/050032,,"Fish held overnight prior to transport. Fish transported from LSNFH to RBDD in two aerated coolers. Holding temperature in cooler within two degrees of river temperature, no tempering needed. Fish released just downstream of RBDD boat launch, used USFWS b",2/21/24
2674,77D5,9:30:22 AM,9:32:17 AM,8.8,93,G,G,G,Y,9:33:36 AM,0,9:35:29 AM,BL,LT,RBDD_20240222,10.1,10.61,10.3,10.84,,2/21/24,2/21/24,SS_2024-503,30677,LSNFH Winter Chinook,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Seasonal_Survival_2024,2,C44,FL,75,25,N,TP,1,1X3,PDO 6-0,204,I,sub-yearling,RBDD_Rel,40.154441,-122.202488,461.579,2/22/24,On,,ATS,SS400,ATS2024-02544,5,5,36,050031/050032,,"Fish held overnight prior to transport. Fish transported from LSNFH to RBDD in two aerated coolers. Holding temperature in cooler within two degrees of river temperature, no tempering needed. Fish released just downstream of RBDD boat launch, used USFWS b",2/21/24
2675,748E,9:35:44 AM,9:37:56 AM,7.9,92,G,G,G,Y,9:39:07 AM,0,9:41:05 AM,BL,LT,RBDD_20240222,10.1,10.61,10.3,10.84,,2/21/24,2/21/24,SS_2024-506,29838,LSNFH Winter Chinook,Chinook salmon,Oncorhynchus tshawytscha,Hatchery,Seasonal_Survival_2024,2,C44,FL,75,25,N,TP,1,1X3,PDO 6-0,201,I,sub-yearling,RBDD_Rel,40.154441,-122.202488,461.579,2/22/24,On,,ATS,SS400,ATS2024-02541,5,5,36,050031/050032,,"Fish held overnight prior to transport. Fish transported from LSNFH to RBDD in two aerated coolers. Holding temperature in cooler within two degrees of river temperature, no tempering needed. Fish released just downstream of RBDD boat launch, used USFWS b",2/21/24
