StudyID,Fish Number,DateTime,Weight,Length,Photo Number,Scales,Fins,Eyes,Sutures Present Y/N,Number Sutures,Suture Scars Y/N,Incision Visible Y/N,"Inflamation (0=none, 1 = slight, 2 = grey, 3 = red)",Tag Bulge Y/N,Encapsulated Y/N,Organ Inclusion Y/N,Tag Position (TA/TP),Tag Shed Y/N,Tag ID,TagShed_Date,Pit Tag Shed Y/N,Pit Tag ID,Notes,Tagger,Data Recorder,Mortality Y/N,Date Mort
SJ_Steelhead_2022,20,7/6/22 9:52 AM,127.7,250,20,F,F,G,Y,1,Y,Y,0,N,,N,,Y,A1BA,NA,Y,,,JF,RR,N,
SJ_Steelhead_2022,42,7/6/22 11:51 AM,151.6,264,42,G,F,G,Y,2,Y,Y,0,N,,N,,Y,7ABF,4/6/2022,Y,,,JF,RR,N,
SJ_Steelhead_2022,39,7/6/22 11:11 AM,165.3,268,39,G,G,G,Y,1,Y,Y,0,Y,N,N,TA,N,7B63,,N,900067000196303,TAG HALFWAY OUT INCISION. Mismatch between acoustic and pit tag,JN,BA,N,
SJ_Steelhead_2022,21,7/6/22 10:27 AM,207,273,21,G,G,G,Y,2,Y,N,0,N,N,Y,TP,N,9ED7,,N,900067000196020,Mismatch between acoustic tag and pit tag,BA,JN,N,
SJ_Steelhead_2022,43,7/6/22 11:11 AM,230.5,280,43,G,G,G,Y,2,N,N,0,N,Y,N,TP,N,9BED,,4/12/2022,900067000205862,LOOKED GREAT,JN,BA,N,
SJ_Steelhead_2022,46,7/6/22 12:06 PM,177,284,46,G,F,G,Y,2,Y,Y,0,N,N,N,TP,N,85BA,,N,900067000205418,,JF,RR,N,
SJ_Steelhead_2022,38,7/6/22 11:44 AM,255.5,284,38,G,G,G,Y,1,Y,Y,0,N,N,N,TP,N,99A7,,N,900067000205431,,JF,RR,N,
SJ_Steelhead_2022,44,7/6/22 11:57 AM,291.1,296,44,G,G,G,N,0,Y,Y,0,N,,N,,Y,,,Y,,,JF,RR,N,
SJ_Steelhead_2022,9,7/5/22 2:44 PM,306,304,9,G,G,G,N,0,Y,N,0,Y,N,N,TP,N,CC8E,,N,900067000195980,Atag in body wall.,JN,LT,N,
SJ_Steelhead_2022,50,7/6/22 12:21 PM,380.3,304,50,G,G,G,N,0,Y,Y,0,N,N,N,TP,N,9057,,N,900067000205849,,JF,RR,N,
SJ_Steelhead_2022,45,7/6/22 11:11 AM,366,305,45,G,G,G,Y,1,N,N,0,N,N,N,,Y,6D0F,4/29/2022,N,900067000196078,,JN,BA,N,
SJ_Steelhead_2022,18,7/6/22 9:48 AM,385.4,308,18,G,G,G,Y,2,Y,Y,0,Y,N,Y,TP,N,9109,,N,900067000206300,,JF,RR,N,
SJ_Steelhead_2022,13,7/6/22 9:47 AM,393.8,310,13,G,G,G,Y,2,Y,N,0,N,N,N,TA,N,C59E,,N,900067000205600,Fish had a short face,BA,RR,N,
SJ_Steelhead_2022,28,7/6/22 10:26 AM,402,311,28,G,G,G,N,0,Y,Y,0,N,N,N,TP,N,71D7,,N,900067000196302,,JF,JN,N,
SJ_Steelhead_2022,24,7/6/22 10:08 AM,334.3,311,24,G,F,G,Y,1,Y,Y,0,N,N,Y,TP,N,7C29,,N,900067000205760,,JF,RR,N,
SJ_Steelhead_2022,19,7/6/22 10:21 AM,376.8,314,19,G,G,G,Y,1,Y,Y,0,N,N,N,TP,N,797B,,N,900067000196062,,BA,JN,N,
SJ_Steelhead_2022,37,7/6/22 11:11 AM,387.4,318,37,G,G,G,Y,1,Y,N,1,N,N,N,TA,N,8529,,N,900067000205598,"TAG BECOMING SHED, IN MUSCLE",JN,BA,N,
